source_reference,producers_awarded,total_bonus_usd,total_bonus_brl,total_employees,total_raw_coffee_processed,total_coffee_produced,year,yield_outlook,ranking_category,avg_position,total_bags_exported,total_bags_handled,producer,location,prize_amount,total_bags_shipped,avg_price_physical,avg_price_futures,total_investment,category,best_rank,region,ingestion_timestamp,content_hash,total_total_bonus_usd,number_of_employees,raw_coffee_processed,coffee_produced,bags_received,bags_acquired,bags_physical_market,average_price_physical_market,bags_futures_market,average_price_futures_market,bags_shipped,bags_direct_export,bags_exporting_clients,bags_domestic_market,bags_transferred_to_roastery,rank,total_rank
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,2026,new challenges,,,,,,,,,,,,,,,2026-05-23T22:28:32.946000,031d69236792151fb6577ad1727cdf48c83ac976eac3d4574250cebe1c1d36a6,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,2025,lower,,,,,,,,,,,,,,,2026-05-23T22:28:32.946000,d25cb769599dfe0866c9014cb605991a07628025713e69ed17b82f9c6da46f69,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,,,,2026-05-23T22:28:32.933000,be1034080c8a10efb4875ce40bf243a11a8792f39ffe4e6eafaa3d2f8b0a2311,,209.0000,305462.0000,15163534.5000,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,209.0000,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,305462.0000,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,15163534.5000,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,2025,,,,,,,,,,,,,,,,2026-05-23T22:28:32.968000,c7643859f1217128d492be98359fb6ee4224b6e2ea4eba8cda4414e9a38369e4,,,,,6075817.0000,4762434.0000,3834740.0000,2221.3600,927694.0000,2043.6200,6078227.0000,4815175.0000,430366.0000,832686.0000,304504.0000,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6075817.0000,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4762434.0000,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3834740.0000,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,Food - Ground Coffee,,"Minas Gerais, Espírito Santo, interior of Rio de Janeiro, Greater Rio de Janeiro",2026-05-23T22:28:32.932000,ae1c2915712ffb7c854c0f55cf066fbb2b3296a65dda139d604063018ca3fafd,,,,,,,,,,,,,,,,4.0000,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0000,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,Food - Ground Coffee,,,,,,,,,,,,,,,,,,,,,4.0000
